,Followers.at.Posting,type_Live Video Complete,Likes.at.Posting,time_difference,prep,WC,focuspast,number,OtherP,Sixltr,article,fnctn,page_category_NEWS_SITE,WPS,Period,Comma,motion,we,time,sec_15,sec_30,sec_60,sec_120,sec_half_day,sec_day,sec_7_days,target,popular
109951,105721,1,106143,48010226.0,10.71,28,0.0,7.14,0.0,17.86,14.29,35.71,0,28.0,0.0,0.0,0.0,0.0,10.71,1,1,1,1,1,1,1,26,0
131869,640413,0,547652,17800603.0,9.76,41,2.44,9.76,2.44,14.63,7.32,31.71,0,10.25,4.88,2.44,2.44,0.0,7.32,1,1,1,1,1,1,1,15,0
15569,179595,0,191666,73120692.0,0.0,6,0.0,50.0,0.0,16.67,0.0,0.0,0,6.0,0.0,16.67,0.0,0.0,33.33,1,1,1,1,1,1,1,2,0
82952,194100,0,198770,75154825.0,11.11,36,0.0,0.0,0.0,19.44,8.33,41.67,0,12.0,5.56,2.78,0.0,0.0,25.0,1,1,1,1,1,1,1,5,0
82804,172962,1,179635,74948116.0,13.64,22,4.55,0.0,0.0,31.82,0.0,31.82,0,11.0,4.55,9.09,4.55,4.55,13.64,1,1,1,1,1,1,1,22,0
36437,354098,1,353874,38879408.0,10.0,60,0.0,15.0,0.0,13.33,6.67,35.0,0,15.0,1.67,6.67,0.0,1.67,10.0,1,1,1,1,1,1,1,33,0
95218,176697,1,182805,61250196.0,21.74,23,4.35,8.7,0.0,17.39,0.0,30.43,0,5.75,13.04,13.04,4.35,4.35,4.35,1,1,1,1,1,1,1,14,0
32760,2365954,0,2288546,34925080.0,13.21,53,0.0,3.77,11.32,24.53,5.66,32.08,0,10.6,5.66,0.0,0.0,0.0,3.77,1,1,1,1,1,1,1,18,0
133427,143897,0,142712,31719298.0,14.29,35,0.0,8.57,2.86,14.29,14.29,34.29,0,17.5,0.0,0.0,2.86,0.0,11.43,1,1,1,1,1,1,1,3,0
67354,170940,1,177372,83156125.0,13.64,22,4.55,0.0,0.0,31.82,0.0,31.82,0,11.0,0.0,9.09,4.55,4.55,13.64,1,1,1,1,1,1,1,22,0
