title,imdb_id,imdb_url,imdb_score,budget_in_millions,month_of_release,year_of_release,duration_in_hours,main_lang,total_number_languages,genre_action,genre_adventure,genre_animation,genre_biography,genre_comedy,genre_crime,genre_documentary,genre_drama,genre_family,genre_fantasy,genre_filmnoir,genre_history,genre_horror,genre_music,genre_musical,genre_mystery,genre_realitytv,genre_romance,genre_scifi,genre_shortfilm,genre_sport,genre_thriller,genre_war,genre_western,main_actor1_name,main_actor1_is_female,main_actor2_name,main_actor2_is_female,main_actor3_name,main_actor3_is_female,total_number_of_actors,main_director_name,main_director_is_female,total_number_of_directors,main_producer_name,total_number_of_producers,editor_name,main_production_company,total_number_of_production_companies,main_production_country,total_number_of_production_countries
Film 1,,,,1.821052,6,1951,1.85,Latin,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Kirk Douglas,0,Jan Sterling,1,Robert Arthur,0,32,Billy Wilder,0,1,Billy Wilder,1,Arthur P. Schmidt,Paramount Pictures,1,United States of America,1
Film 2,,,,100,11,2007,2.616666667,English,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Denzel Washington,0,Russell Crowe,0,Chiwetel Ejiofor,0,110,Ridley Scott,0,1,Brian Grazer,2,Pietro Scalia,Imagine Entertainment,5,United Kingdom,2
Film 3,,,,26,1,2006,1.8,English,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,James Franco,0,Donnie Wahlberg,0,Jim Parrack,0,5,Justin Lin,0,1,none,0,none,Touchstone Pictures,1,United States of America,1
Film 4,,,,18,6,1988,1.733333333,English,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tom Hanks,0,Elizabeth Perkins,1,Robert Loggia,0,15,Penny Marshall,1,1,James L. Brooks,2,Barry Malkin,Gracie Films,3,United States of America,1
Film 5,,,,13,6,1993,1.45,English,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,Gabrielle Anwar,1,Terry Kinney,0,Billy Wirth,0,10,Abel Ferrara,0,1,Robert H. Solo,1,Anthony Redman,Warner Bros.,3,United States of America,1
Film 6,,,,0.5,11,2001,1.816666667,English,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,David Mattey,0,Clyde Lewis,0,Heidi Sjursen,1,39,Lloyd Kaufman,0,1,Lloyd Kaufman,2,Gabriel Friedman,Troma Entertainment,1,United States of America,1
Film 7,,,,53,5,1995,1.933333333,English,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Denzel Washington,0,Gene Hackman,0,Matt Craven,0,18,Tony Scott,0,1,Jerry Bruckheimer,2,Chris Lebenzon,Hollywood Pictures,2,United States of America,1
Film 8,,,,17,12,1999,1.466666667,English,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rob Schneider,0,William Forsythe,0,Eddie Griffin,0,16,Mike Mitchell,0,1,Adam Sandler,1,George Bowers,Happy Madison Productions,3,United States of America,1
Film 9,,,,50,3,2006,1.616666667,English,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Matthew McConaughey,0,Sarah Jessica Parker,1,Zooey Deschanel,1,12,Tom Dey,0,1,Scott Aversano,2,Steven Rosenblum,Paramount Pictures,3,United States of America,1
Film 10,,,,35,11,2002,1.9,English,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Rebecca Romijn,1,Antonio Banderas,0,Peter Coyote,0,19,Brian De Palma,0,1,Tarak Ben Ammar,2,Bill Pankow,Epsilon Motion Pictures,2,Switzerland,2
